sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,preflight_rejection_reason,error_type
aug_seed_000137_small_batch_subset_001,seed_000137,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000031_small_batch_subset_001,seed_000031,student_club,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000309_relational_format_variant_001,seed_000309,toxicology,free_text,insert_ignore,1,foreign_key,preflight_abstention
aug_seed_000316_single_row_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000072,seed_000072,toxicology,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000343_small_batch_subset_001,seed_000343,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000293_relational_format_variant_001,seed_000293,student_club,free_text,insert_ignore,1,foreign_key,preflight_abstention
aug_seed_000356_single_row_subset_001,seed_000356,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000179_single_row_subset_001,seed_000179,financial,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000013_small_batch_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
seed_000335,seed_000335,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000067,seed_000067,formula_1,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
seed_000051,seed_000051,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000040,seed_000040,codebase_community,free_text,plain_insert,0,semantic_risk_gate,preflight_abstention
seed_000193,seed_000193,california_schools,semi_structured,upsert_update,0,foreign_key,preflight_abstention
aug_seed_000177_relational_format_variant_003,seed_000177,codebase_community,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000101_small_batch_subset_001,seed_000101,formula_1,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000178_single_row_subset_001,seed_000178,formula_1,free_text,insert_ignore,0,unique_constraint,preflight_abstention
seed_000328,seed_000328,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000172_relational_format_variant_001,seed_000172,european_football_2,free_text,insert_ignore,1,semantic_risk_gate,preflight_abstention
aug_seed_000202_relational_format_variant_002,seed_000202,student_club,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000328_single_row_subset_001,seed_000328,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000334_single_row_subset_001,seed_000334,financial,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
seed_000264,seed_000264,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000253,seed_000253,formula_1,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000309_relational_format_variant_002,seed_000309,toxicology,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
seed_000254,seed_000254,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000042_single_row_subset_001,seed_000042,financial,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000208_single_row_subset_001,seed_000208,financial,free_text,insert_ignore,0,foreign_key,preflight_abstention
aug_seed_000274_single_row_subset_001,seed_000274,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000059,seed_000059,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000203_single_row_subset_001,seed_000203,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000094_small_batch_subset_001,seed_000094,european_football_2,free_text,insert_ignore,0,unique_constraint,preflight_abstention
seed_000101,seed_000101,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000343,seed_000343,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000020,seed_000020,european_football_2,semi_structured,insert_ignore,1,foreign_key,preflight_abstention
aug_seed_000275_relational_format_variant_002,seed_000275,student_club,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000191_single_row_subset_001,seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000051_small_batch_subset_002,seed_000051,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000009_small_batch_subset_002,seed_000009,debit_card_specializing,free_text,insert_ignore,0,unique_constraint,preflight_abstention
seed_000203,seed_000203,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000134,seed_000134,toxicology,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
