sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,first_failure_stage,error_type,error_family,preflight_rejection_reason,accepted_output,false_accept,hit_max_new_tokens,output_tokens,input_tokens
seed_000107,seed_000107,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,248,6785
aug_seed_000002_relational_format_variant_003,seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,153,2796
aug_seed_000275_relational_format_variant_003,seed_000275,student_club,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2801
aug_seed_000044_single_row_subset_002,seed_000044,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,442,3975
seed_000224,seed_000224,card_games,semi_structured,upsert_update,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,202,6025
seed_000065,seed_000065,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,199,3067
aug_seed_000203_small_batch_subset_001,seed_000203,financial,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,458,5415
aug_seed_000162_relational_format_variant_002,seed_000162,codebase_community,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,3839
aug_seed_000072_relational_format_variant_003,seed_000072,toxicology,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,155,3094
seed_000166,seed_000166,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,239,5938
aug_seed_000048_single_row_subset_002,seed_000048,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,179,6473
aug_seed_000335_small_batch_subset_001,seed_000335,debit_card_specializing,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,316,3499
aug_seed_000108_single_row_subset_002,seed_000108,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,275,4867
aug_seed_000020_relational_format_variant_001,seed_000020,european_football_2,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,21147
seed_000245,seed_000245,financial,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,152,4575
seed_000263,seed_000263,california_schools,semi_structured,upsert_update,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,273,7051
seed_000069,seed_000069,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,149,4847
seed_000099,seed_000099,formula_1,free_text,insert_ignore,0,parse,parse_error,output_length,,0,0,1,4096,15474
seed_000010,seed_000010,california_schools,semi_structured,upsert_update,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,246,6799
aug_seed_000017_single_row_subset_001,seed_000017,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,247,5217
aug_seed_000095_single_row_subset_002,seed_000095,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,406,3746
seed_000311,seed_000311,card_games,semi_structured,plain_insert,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,177,7228
aug_seed_000238_small_batch_subset_001,seed_000238,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,163,2302
seed_000219,seed_000219,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,239,5938
aug_seed_000202_relational_format_variant_003,seed_000202,student_club,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2801
aug_seed_000261_small_batch_subset_001,seed_000261,debit_card_specializing,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,293,3111
aug_seed_000137_small_batch_subset_001,seed_000137,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,174,2232
aug_seed_000025_single_row_subset_001,seed_000025,financial,free_text,insert_ignore,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,451,6777
aug_seed_000002_relational_format_variant_001,seed_000002,debit_card_specializing,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,12069
aug_seed_000031_small_batch_subset_001,seed_000031,student_club,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,186,2244
seed_000061,seed_000061,financial,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,150,4578
aug_seed_000311_single_row_subset_001,seed_000311,card_games,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,644,8578
aug_seed_000309_relational_format_variant_001,seed_000309,toxicology,free_text,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,193,10984
aug_seed_000316_single_row_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2071
aug_seed_000130_single_row_subset_001,seed_000130,formula_1,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,245,6967
seed_000072,seed_000072,toxicology,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,172,2359
aug_seed_000343_small_batch_subset_001,seed_000343,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,317,4472
aug_seed_000293_relational_format_variant_001,seed_000293,student_club,free_text,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,883,6379
seed_000325,seed_000325,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,3803
aug_seed_000356_single_row_subset_001,seed_000356,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,323,4483
seed_000217,seed_000217,codebase_community,semi_structured,upsert_update,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,130,18190
aug_seed_000179_single_row_subset_001,seed_000179,financial,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,220,4454
seed_000088,seed_000088,thrombosis_prediction,semi_structured,insert_ignore,1,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,163,5012
aug_seed_000351_relational_format_variant_001,seed_000351,toxicology,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,10948
aug_seed_000013_small_batch_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,465,12108
seed_000335,seed_000335,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,161,2440
aug_seed_000080_single_row_subset_002,seed_000080,student_club,free_text,insert_ignore,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,282,4939
aug_seed_000019_single_row_subset_002,seed_000019,financial,free_text,insert_ignore,0,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,build_or_materialization,,0,0,0,557,6790
seed_000067,seed_000067,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,1373,9176
aug_seed_000171_small_batch_subset_001,seed_000171,financial,free_text,insert_ignore,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,467,5406
seed_000051,seed_000051,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,187,2717
seed_000040,seed_000040,codebase_community,free_text,plain_insert,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,194,4984
aug_seed_000148_small_batch_subset_001,seed_000148,codebase_community,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMNS,build_or_materialization,,0,0,0,393,5559
aug_seed_000119_single_row_subset_001,seed_000119,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,173,3935
seed_000193,seed_000193,california_schools,semi_structured,upsert_update,0,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,434,8177
aug_seed_000161_single_row_subset_001,seed_000161,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,414,3738
seed_000165,seed_000165,superhero,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,260,4720
seed_000307,seed_000307,european_football_2,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,138,11766
aug_seed_000177_relational_format_variant_003,seed_000177,codebase_community,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,153,4361
aug_seed_000299_single_row_subset_001,seed_000299,formula_1,free_text,insert_ignore,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,175,6649
seed_000196,seed_000196,codebase_community,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,133,5423
aug_seed_000101_small_batch_subset_001,seed_000101,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,276,7164
seed_000300,seed_000300,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,3665
seed_000175,seed_000175,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,122,3873
aug_seed_000054_single_row_subset_001,seed_000054,card_games,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,261,7329
aug_seed_000178_single_row_subset_001,seed_000178,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,260,6811
seed_000272,seed_000272,card_games,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,160,7721
aug_seed_000004_relational_format_variant_002,seed_000004,debit_card_specializing,semi_structured,insert_ignore,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,2625
seed_000328,seed_000328,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,154,2171
seed_000148,seed_000148,codebase_community,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,2003,8806
seed_000313,seed_000313,debit_card_specializing,semi_structured,plain_insert,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,160,2829
aug_seed_000172_relational_format_variant_001,seed_000172,european_football_2,free_text,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,420,19750
aug_seed_000202_relational_format_variant_002,seed_000202,student_club,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2800
aug_seed_000005_single_row_subset_001,seed_000005,financial,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,316,5382
aug_seed_000289_single_row_subset_001,seed_000289,debit_card_specializing,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,255,3179
seed_000131,seed_000131,california_schools,semi_structured,upsert_update,0,parse,parse_error,parse_or_format,,0,0,0,247,4997
aug_seed_000328_single_row_subset_001,seed_000328,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,165,2180
seed_000084,seed_000084,california_schools,semi_structured,upsert_update,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,241,6814
aug_seed_000112_relational_format_variant_003,seed_000112,toxicology,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,156,3610
aug_seed_000128_single_row_subset_001,seed_000128,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,479,4367
seed_000092,seed_000092,financial,semi_structured,plain_insert,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,153,4725
aug_seed_000334_single_row_subset_001,seed_000334,financial,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,224,4453
seed_000271,seed_000271,financial,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,151,4913
seed_000264,seed_000264,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,216,3146
seed_000079,seed_000079,debit_card_specializing,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,2807
seed_000253,seed_000253,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,159,14908
aug_seed_000343_single_row_subset_001,seed_000343,financial,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,514,6901
aug_seed_000309_relational_format_variant_002,seed_000309,toxicology,semi_structured,insert_ignore,1,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,153,2937
aug_seed_000072_relational_format_variant_001,seed_000072,toxicology,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,12495
aug_seed_000154_single_row_subset_001,seed_000154,european_football_2,free_text,insert_ignore,0,build,UNKNOWN_CONSTRAINT_ID,build_or_materialization,,0,0,0,253,11230
seed_000206,seed_000206,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,338,7474
seed_000254,seed_000254,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,154,2292
aug_seed_000171_single_row_subset_001,seed_000171,financial,free_text,insert_ignore,0,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,build_or_materialization,,0,0,0,220,4415
aug_seed_000042_single_row_subset_001,seed_000042,financial,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,281,4487
aug_seed_000208_single_row_subset_001,seed_000208,financial,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,410,5259
aug_seed_000066_single_row_subset_002,seed_000066,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,334,5206
aug_seed_000022_single_row_subset_002,seed_000022,superhero,free_text,insert_ignore,0,build,UNKNOWN_CONSTRAINT_ID,build_or_materialization,,0,0,0,163,3276
seed_000150,seed_000150,superhero,semi_structured,plain_insert,1,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,189,4328
aug_seed_000181_single_row_subset_001,seed_000181,financial,free_text,insert_ignore,0,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,build_or_materialization,,0,0,0,1072,7044
aug_seed_000004_relational_format_variant_001,seed_000004,debit_card_specializing,free_text,insert_ignore,0,parse,parse_error,output_length,,0,0,1,4096,11226
aug_seed_000169_single_row_subset_001,seed_000169,debit_card_specializing,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,169,3059
seed_000299,seed_000299,formula_1,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,6943
aug_seed_000274_single_row_subset_001,seed_000274,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,136,2343
seed_000274,seed_000274,formula_1,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,6949
seed_000208,seed_000208,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,237,5938
aug_seed_000190_single_row_subset_001,seed_000190,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,280,5833
seed_000185,seed_000185,student_club,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,158,4252
seed_000059,seed_000059,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,146,2661
aug_seed_000203_single_row_subset_001,seed_000203,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,159,2722
aug_seed_000121_single_row_subset_002,seed_000121,student_club,free_text,insert_ignore,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,344,4756
aug_seed_000005_single_row_subset_002,seed_000005,financial,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,312,4781
seed_000066,seed_000066,student_club,semi_structured,plain_insert,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,213,5020
aug_seed_000094_small_batch_subset_001,seed_000094,european_football_2,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,2290,12841
seed_000145,seed_000145,toxicology,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,2441
aug_seed_000002_relational_format_variant_002,seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,155,2795
aug_seed_000287_single_row_subset_001,seed_000287,thrombosis_prediction,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,196,4999
seed_000296,seed_000296,card_games,free_text,upsert_update,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,1639,9573
seed_000042,seed_000042,financial,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,150,4578
aug_seed_000116_single_row_subset_001,seed_000116,financial,free_text,insert_ignore,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,314,4747
seed_000229,seed_000229,superhero,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,245,4668
seed_000094,seed_000094,european_football_2,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,169,11505
seed_000101,seed_000101,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,136,2191
seed_000106,seed_000106,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,248,6783
seed_000212,seed_000212,superhero,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,4042
aug_seed_000346_relational_format_variant_001,seed_000346,codebase_community,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,14591
