method_slug,sample_id,db_id,input_type,operation_type,dependency_sensitive,target_state_correct,first_failure_stage,error_type,output_tokens
j_fs,aug_seed_000004_relational_format_variant_002,debit_card_specializing,semi_structured,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000172_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000202_relational_format_variant_002,student_club,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000131,california_schools,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000112_relational_format_variant_003,toxicology,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000337,card_games,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000002_relational_format_variant_002,debit_card_specializing,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000343,financial,semi_structured,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000275_relational_format_variant_002,student_club,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000011,card_games,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000303,thrombosis_prediction,semi_structured,plain_insert,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000203,financial,semi_structured,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
original_mp_fs_plus,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,seed_000099,formula_1,free_text,insert_ignore,0,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,parse,parse_error,4096
original_mp_fs_plus,aug_seed_000346_relational_format_variant_001,codebase_community,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,seed_000099,formula_1,free_text,insert_ignore,0,0,parse,parse_error,4096
d_g1_primary,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_g1_primary,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,parse,parse_error,4096
d_g1_primary,aug_seed_000346_relational_format_variant_001,codebase_community,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,seed_000099,formula_1,free_text,insert_ignore,0,0,parse,parse_error,4096
d_only_secondary,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
d_only_secondary,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,parse,parse_error,4096
d_only_secondary,aug_seed_000346_relational_format_variant_001,codebase_community,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,seed_000099,formula_1,free_text,insert_ignore,0,0,parse,parse_error,4096
full_secondary,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
full_secondary,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,parse,parse_error,4096
full_secondary,aug_seed_000346_relational_format_variant_001,codebase_community,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,seed_000099,formula_1,free_text,insert_ignore,0,0,parse,parse_error,4096
no_c_secondary,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000072_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,parse,parse_error,4096
no_c_secondary,aug_seed_000004_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,0,0,parse,parse_error,4096
no_c_secondary,aug_seed_000346_relational_format_variant_001,codebase_community,free_text,insert_ignore,1,0,parse,parse_error,4096
