sample_id,repair_rule,reference_kind,slot_path,original_reference,replacement_reference,candidate_count,candidate_set,repair_attempted,repair_applied,repair_succeeded,validation_before,validation_after
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f4,t9.gender_id,t9.c4,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f5,t9.eye_colour_id,t9.c2,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f6,t9.hair_colour_id,t9.c5,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f7,t9.skin_colour_id,t9.c10,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f8,t9.race_id,t9.c9,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f9,t9.publisher_id,t9.c8,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000185,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t6.major_id,t6.c3,4,t6.c1|t6.c2|t6.c3|t6.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000185,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t6.major_name,t6.c4,4,t6.c1|t6.c2|t6.c3|t6.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000185,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f3,t6.department,t6.c2,4,t6.c1|t6.c2|t6.c3|t6.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000185,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f4,t6.college,t6.c1,4,t6.c1|t6.c2|t6.c3|t6.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t8.account_id,t8.c2,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f3,t8.date,t8.c6,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f4,t8.type,t8.c10,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f5,t8.operation,t8.c8,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f6,t8.amount,t8.c3,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f7,t8.balance,t8.c4,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000235,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f8,t8.k_symbol,t8.c7,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000288,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t3.client_id,t3.c2,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000288,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t3.gender,t3.c4,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000288,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f3,t3.birth_date,t3.c1,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000288,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f4,t3.district_id,t3.c3,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000307,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t3.home_team_api_id,t3.c88,115,t3.c1|t3.c10|t3.c100|t3.c101|t3.c102|t3.c103|t3.c104|t3.c105|t3.c106|t3.c107|t3.c108|t3.c109|t3.c11|t3.c110|t3.c111|t3.c112|t3.c113|t3.c114|t3.c115|t3.c12|t3.c13|t3.c14|t3.c15|t3.c16|t3.c17|t3.c18|t3.c19|t3.c2|t3.c20|t3.c21|t3.c22|t3.c23|t3.c24|t3.c25|t3.c26|t3.c27|t3.c28|t3.c29|t3.c3|t3.c30|t3.c31|t3.c32|t3.c33|t3.c34|t3.c35|t3.c36|t3.c37|t3.c38|t3.c39|t3.c4|t3.c40|t3.c41|t3.c42|t3.c43|t3.c44|t3.c45|t3.c46|t3.c47|t3.c48|t3.c49|t3.c5|t3.c50|t3.c51|t3.c52|t3.c53|t3.c54|t3.c55|t3.c56|t3.c57|t3.c58|t3.c59|t3.c6|t3.c60|t3.c61|t3.c62|t3.c63|t3.c64|t3.c65|t3.c66|t3.c67|t3.c68|t3.c69|t3.c7|t3.c70|t3.c71|t3.c72|t3.c73|t3.c74|t3.c75|t3.c76|t3.c77|t3.c78|t3.c79|t3.c8|t3.c80|t3.c81|t3.c82|t3.c83|t3.c84|t3.c85|t3.c86|t3.c87|t3.c88|t3.c89|t3.c9|t3.c90|t3.c91|t3.c92|t3.c93|t3.c94|t3.c95|t3.c96|t3.c97|t3.c98|t3.c99,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000307,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t3.away_team_api_id,t3.c34,115,t3.c1|t3.c10|t3.c100|t3.c101|t3.c102|t3.c103|t3.c104|t3.c105|t3.c106|t3.c107|t3.c108|t3.c109|t3.c11|t3.c110|t3.c111|t3.c112|t3.c113|t3.c114|t3.c115|t3.c12|t3.c13|t3.c14|t3.c15|t3.c16|t3.c17|t3.c18|t3.c19|t3.c2|t3.c20|t3.c21|t3.c22|t3.c23|t3.c24|t3.c25|t3.c26|t3.c27|t3.c28|t3.c29|t3.c3|t3.c30|t3.c31|t3.c32|t3.c33|t3.c34|t3.c35|t3.c36|t3.c37|t3.c38|t3.c39|t3.c4|t3.c40|t3.c41|t3.c42|t3.c43|t3.c44|t3.c45|t3.c46|t3.c47|t3.c48|t3.c49|t3.c5|t3.c50|t3.c51|t3.c52|t3.c53|t3.c54|t3.c55|t3.c56|t3.c57|t3.c58|t3.c59|t3.c6|t3.c60|t3.c61|t3.c62|t3.c63|t3.c64|t3.c65|t3.c66|t3.c67|t3.c68|t3.c69|t3.c7|t3.c70|t3.c71|t3.c72|t3.c73|t3.c74|t3.c75|t3.c76|t3.c77|t3.c78|t3.c79|t3.c8|t3.c80|t3.c81|t3.c82|t3.c83|t3.c84|t3.c85|t3.c86|t3.c87|t3.c88|t3.c89|t3.c9|t3.c90|t3.c91|t3.c92|t3.c93|t3.c94|t3.c95|t3.c96|t3.c97|t3.c98|t3.c99,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000319,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t9.race_id,t9.c9,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000334,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t3.client_id,t3.c2,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000334,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t3.gender,t3.c4,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000334,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f3,t3.birth_date,t3.c1,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000334,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f4,t3.district_id,t3.c3,4,t3.c1|t3.c2|t3.c3|t3.c4,1,1,1,UNKNOWN_COLUMN_ID,PASS
