gate,sample_id,verdict,candidate_correct,cell
semantic_risk_gate,final_vaccine_015,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_020,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_022,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_023,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_024,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_028,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_029,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_030,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_037,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_038,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_039,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_040,PASS,0,B_pass_wrong
semantic_risk_gate,final_vaccine_043,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_044,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_045,PASS,0,B_pass_wrong
semantic_risk_gate,final_vaccine_049,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_050,PASS,0,B_pass_wrong
semantic_risk_gate,final_vaccine_051,PASS,0,B_pass_wrong
semantic_risk_gate,final_vaccine_052,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_053,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_054,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_055,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_058,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_059,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_060,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_001,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_006,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_007,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_008,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_009,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_010,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_013,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_014,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_016,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_018,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_020,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_022,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_023,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_024,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_025,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_028,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_029,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_030,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_032,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_034,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_037,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_038,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_039,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_040,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_043,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_044,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_045,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_046,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_047,PASS,0,B_pass_wrong
semantic_risk_gate,final_virtual_051,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_052,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_053,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_054,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_058,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_059,PASS,1,A_pass_correct
semantic_risk_gate,final_virtual_060,PASS,1,A_pass_correct
