sample_id,D_G1_target_state_correct,ACTUAL_D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_to_ACTUAL_D_F_G1,ACTUAL_D_F_G1_to_FULL,D_G1_first_failure_stage,ACTUAL_D_F_G1_first_failure_stage,FULL_first_failure_stage,D_G1_error_type,ACTUAL_D_F_G1_error_type,FULL_error_type,ACTUAL_D_F_G1_accepted_output,ACTUAL_D_F_G1_preflight_accepted,ACTUAL_D_F_G1_hit_max_new_tokens
seed_000224,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000065,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000203_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000162_relational_format_variant_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000072_relational_format_variant_003,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000166,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000048_single_row_subset_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000079_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000335_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000108_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE,0,0,0
aug_seed_000020_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
seed_000169,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000245,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
seed_000263,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000091_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000308,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000069,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
seed_000099,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
seed_000010,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000017_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE,0,0,0
aug_seed_000027_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000145_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000095_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000056,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000311,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000238_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000119_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000089_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000282_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000020_relational_format_variant_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000219,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000202_relational_format_variant_003,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000044_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000261_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000069_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000139_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000137_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000218_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000025_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000002_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
aug_seed_000049_relational_format_variant_003,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000031_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000061,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000311_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
aug_seed_000309_relational_format_variant_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000316_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000312,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000130_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000072,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000343_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000293_relational_format_variant_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000325,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000301_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000356_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000121,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000217,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000061_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000052,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000179_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000088,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000351_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
aug_seed_000013_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000335,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000080_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
aug_seed_000235_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000019_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,0,0,0
seed_000174,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000280_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000067,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000171_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
seed_000051,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000040,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000035_relational_format_variant_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000148_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMNS,MISSING_UPDATE_COLUMNS,MISSING_UPDATE_COLUMNS,0,0,0
aug_seed_000303_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000119_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000193,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000161_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000165,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000110_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000062_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000307,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000177_relational_format_variant_003,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000085_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000272_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000299_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
seed_000196,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000101_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000300,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000076_single_row_subset_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000175,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000054_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000178_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000251_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000221_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000030,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000272,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000175_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000004_relational_format_variant_002,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000328,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000148,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,0,0,0
seed_000313,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
