sample_id,method,db_id,execution_success,current_target_correct,all_table_target_correct,current_strict_correct,all_table_strict_correct,current_off_target,all_table_off_target,target_mismatch,strict_mismatch,off_target_mismatch,current_mismatch_tables,all_table_mismatch_tables,all_table_off_target_tables
final_archeology_043,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_044,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_045,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_046,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_047,D-FS-M,archeology,True,False,False,False,False,True,True,False,False,False,personnel|projects,personnel|projects,personnel
final_archeology_048,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_049,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_050,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_051,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_052,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_053,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_054,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_055,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_056,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_057,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_058,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_059,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_060,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_polar_001,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_002,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_003,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_004,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_005,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_006,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_007,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_008,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_009,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_010,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_011,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_012,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_013,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_014,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_015,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_016,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_017,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_018,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_019,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_020,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_021,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_022,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_023,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_024,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_025,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_026,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_027,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_028,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_029,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_030,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_031,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_032,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_033,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_034,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_035,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_036,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_037,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_038,D-FS-M,polar,True,False,False,False,False,False,False,False,False,False,lightingandsafety,lightingandsafety,
final_polar_039,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_040,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_041,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_042,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_043,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_044,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_045,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_046,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_047,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_048,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_049,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_050,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_051,D-FS-M,polar,False,False,False,False,False,False,False,False,False,False,,,
final_polar_052,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_053,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_054,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_055,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_056,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_057,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_058,D-FS-M,polar,True,False,False,False,False,False,False,False,False,False,weatherandstructure,weatherandstructure,
final_polar_059,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_polar_060,D-FS-M,polar,True,True,True,True,True,False,False,False,False,False,,,
final_robot_001,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_002,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_003,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_004,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_005,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_006,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_007,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_008,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_009,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_010,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_011,D-FS-M,robot,False,False,False,False,False,False,False,False,False,False,,,
final_robot_012,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_013,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_014,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_015,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_016,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_017,D-FS-M,robot,True,False,False,False,False,False,False,False,False,False,operation,operation,
final_robot_018,D-FS-M,robot,True,False,False,False,False,False,False,False,False,False,performance_and_safety,performance_and_safety,
final_robot_019,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_020,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_021,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_022,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_023,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_024,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_025,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_026,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_027,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_028,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_029,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_030,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_031,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_032,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_033,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_034,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_035,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_036,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_037,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_038,D-FS-M,robot,False,False,False,False,False,False,False,False,False,False,,,
final_robot_039,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_040,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_041,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_042,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_043,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_044,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_045,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_046,D-FS-M,robot,False,False,False,False,False,False,False,False,False,False,,,
final_robot_047,D-FS-M,robot,False,False,False,False,False,False,False,False,False,False,,,
final_robot_048,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_049,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_050,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_051,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_052,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_053,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_054,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_055,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_056,D-FS-M,robot,False,False,False,False,False,False,False,False,False,False,,,
final_robot_057,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_058,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_059,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_robot_060,D-FS-M,robot,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_001,D-FS-M,vaccine,True,False,False,False,False,False,False,False,False,False,shipments,shipments,
final_vaccine_002,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_003,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_004,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_005,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_006,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_007,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_008,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_009,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_010,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_011,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_012,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_013,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_014,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_015,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_016,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_017,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_018,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_019,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_020,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_021,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_022,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_023,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_024,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_025,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_026,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_027,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_028,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_029,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_030,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_031,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_032,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_033,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_034,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_035,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_036,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_037,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_038,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_039,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_040,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_041,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_042,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_043,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_044,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_045,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_046,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_047,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_048,D-FS-M,vaccine,False,False,False,False,False,False,False,False,False,False,,,
final_vaccine_049,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_050,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_051,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_052,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_053,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_054,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_055,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_056,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_057,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_058,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_059,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_vaccine_060,D-FS-M,vaccine,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_001,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_002,D-FS-M,virtual,True,False,False,False,False,False,False,False,False,False,interactions,interactions,
final_virtual_003,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_004,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_005,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_006,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_007,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_008,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_009,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_010,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_011,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_012,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_013,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_014,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_015,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_016,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_017,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_018,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_019,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_020,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_021,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_022,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_023,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_024,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_025,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_026,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_027,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_028,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_029,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_030,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_031,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_032,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_033,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_034,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_035,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_036,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_037,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_038,D-FS-M,virtual,False,False,False,False,False,False,False,False,False,False,,,
final_virtual_039,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_040,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_041,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_042,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_043,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_044,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_045,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_046,D-FS-M,virtual,True,False,False,False,False,False,False,False,False,False,additionalnotes,additionalnotes,
final_virtual_047,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_048,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_049,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_050,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_051,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_052,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_053,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_054,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_055,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_056,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_057,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_058,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_059,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_virtual_060,D-FS-M,virtual,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_001,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_002,J-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_003,J-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_004,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_005,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_006,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_007,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_008,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_009,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_010,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_011,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_012,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_013,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_014,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_015,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_016,J-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_017,J-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_018,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_019,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_020,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_021,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_022,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_023,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_024,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_025,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_026,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_027,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_028,J-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
