sample_id,db_id,method,error_category,error_stage,error_type,error_message,detected_mode,detected_format
final_polar_005,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_polar_006,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_polar_007,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_008,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_009,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_010,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_polar_011,polar,MP-FS+,correct,correct,,,semi_structured,key_value
final_polar_012,polar,MP-FS+,correct,correct,,,semi_structured,key_value
final_polar_013,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_014,polar,MP-FS+,E16_state_mismatch,state,wrong_state,,semi_structured,csv
final_polar_015,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_016,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_017,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_018,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_019,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_polar_020,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_polar_021,polar,MP-FS+,correct,correct,,,semi_structured,multi_json_collection
final_polar_022,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_023,polar,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: scientific.sciregistry,semi_structured,markdown_table
final_polar_024,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_025,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_026,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_027,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_028,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_029,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_polar_030,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_031,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_032,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_033,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_034,polar,MP-FS+,correct,correct,,,semi_structured,json_object
final_polar_035,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_polar_036,polar,MP-FS+,correct,correct,,,semi_structured,multi_json_collection
final_polar_037,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_038,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_039,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_040,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_041,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_042,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_043,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_044,polar,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: scientific.sciregistry,semi_structured,csv
final_polar_045,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_046,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_047,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_048,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_049,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_polar_050,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_polar_051,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_polar_052,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_053,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_054,polar,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_polar_055,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_056,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_057,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_polar_058,polar,MP-FS+,E16_state_mismatch,state,wrong_state,,semi_structured,csv
final_polar_059,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_060,polar,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_001,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_002,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_003,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_004,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_005,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_006,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_robot_007,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_008,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_009,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_010,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_011,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_012,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_013,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_014,robot,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: robot_record.recreg,semi_structured,csv
final_robot_015,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_016,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_017,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_018,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_019,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_020,robot,MP-FS+,other,other,UNKNOWN_SOURCE_FIELD_ID,Unknown source field reference 'c1.f1' for c1.,semi_structured,json_array
final_robot_021,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_022,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_023,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_024,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_025,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_026,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_027,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_028,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_029,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_030,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_031,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_032,robot,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,actuation_data: missing required columns: actreg.,free_text,free_text
final_robot_033,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_034,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_035,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_036,robot,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,actuation_data: missing required columns: actreg.,semi_structured,multi_json_collection
final_robot_037,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_038,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_039,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_040,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_041,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_042,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_043,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_044,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_045,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_046,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_047,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_048,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_robot_049,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_050,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_robot_051,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_robot_052,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_053,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_054,robot,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_robot_055,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_056,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_057,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_robot_058,robot,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_robot_059,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_robot_060,robot,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_001,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_002,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_003,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_004,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_vaccine_005,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,multi_json_collection
final_vaccine_006,vaccine,MP-FS+,other,other,UNKNOWN_SOURCE_FIELD_ID,Unknown source field reference 'c1.f1' for c1.,semi_structured,multi_json_collection
final_vaccine_007,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_008,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_009,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_010,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,key_value
final_vaccine_011,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_vaccine_012,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_vaccine_013,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_014,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_015,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_016,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_017,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_018,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",free_text,free_text
final_vaccine_019,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,multi_json_collection
final_vaccine_020,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_vaccine_021,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_vaccine_022,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_023,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_024,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_025,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_vaccine_026,vaccine,MP-FS+,E5_wrong_mapping,source_grounding,UNRESOLVED_SOURCE_FIELD,Source field 'operation' is neither mapped nor justified.,semi_structured,multi_table
final_vaccine_027,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,multi_table
final_vaccine_028,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_029,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_030,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_031,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_032,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_033,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_034,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_vaccine_035,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_vaccine_036,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,multi_json_collection
final_vaccine_037,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_038,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_039,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_040,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,key_value
final_vaccine_041,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_vaccine_042,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,key_value
final_vaccine_043,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_vaccine_044,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_045,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_vaccine_046,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_047,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_048,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_vaccine_049,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_vaccine_050,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_vaccine_051,vaccine,MP-FS+,E15_preflight_abstention,execution,preflight_abstention,UNIQUE constraint failed: regulatoryandmaintenance.regmaintregistry,semi_structured,json_array
final_vaccine_052,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,markdown_table
final_vaccine_053,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_054,vaccine,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_vaccine_055,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_vaccine_056,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,key_value
final_vaccine_057,vaccine,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,"container: missing required columns: containregistry, shipown.",semi_structured,key_value
final_vaccine_058,vaccine,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_vaccine_059,vaccine,MP-FS+,correct,correct,,,semi_structured,csv
final_vaccine_060,vaccine,MP-FS+,E16_state_mismatch,state,wrong_state,,semi_structured,csv
final_virtual_001,virtual,MP-FS+,other,other,LOSSY_NORMALIZATION_REJECTED,Value is not a supported unambiguous date.,free_text,free_text
final_virtual_002,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_003,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_004,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_005,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_006,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_virtual_007,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_008,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_009,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_010,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_virtual_011,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_virtual_012,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_virtual_013,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_014,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_015,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_virtual_016,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_017,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_018,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_019,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_020,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_virtual_021,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_022,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_023,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_024,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_025,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_026,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_027,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_028,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_029,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_030,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_031,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_032,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_033,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_034,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_virtual_035,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_036,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_037,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,markdown_table
final_virtual_038,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_039,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_040,virtual,MP-FS+,E16_state_mismatch,state,wrong_state,,semi_structured,key_value
final_virtual_041,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_042,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_043,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_044,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_045,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_046,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_047,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_048,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_virtual_049,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_050,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_virtual_051,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_virtual_052,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_053,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_054,virtual,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_virtual_055,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_056,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_057,virtual,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_virtual_058,virtual,MP-FS+,correct,correct,,,semi_structured,csv
final_virtual_059,virtual,MP-FS+,correct,correct,,,semi_structured,csv
