stage6_sample_id	upstream_sample_locator	authored_content_sha256	final_rejection_source	R01_notes_sha256	R02_notes_sha256	R03_notes_sha256	reviewed_by	classification	rationale	correction_spec
stage6_crudsql_0202	crudsql:test:0786:4d2420113aaa11e9b9c1f40f24344a08:94aec3836d486286	b20950141514d243d688bdc069c0c88c7ae5f31826368e7747994faaf65eae41	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a81d675dae67e95d42d53500033ca0a5c72a7bc62bd55b8a55c832ddecc84438	a2717f9aaf2e320c6b4c93cc09041c5dfbe22c32f4df7d54903321a72f1ac738	R04			
stage6_crudsql_0203	crudsql:test:0787:4d2420113aaa11e9b9c1f40f24344a08:5e9a5653dbb7d278	9cc062c17b5d76c4a86c64aaea6e1e83bdbbae49d03e5c15b08bcb83d6740ad4	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a81d675dae67e95d42d53500033ca0a5c72a7bc62bd55b8a55c832ddecc84438	a2717f9aaf2e320c6b4c93cc09041c5dfbe22c32f4df7d54903321a72f1ac738	R04			
stage6_crudsql_0216	crudsql:test:0800:4d26d4b03aaa11e9acf2f40f24344a08:002457b719da842f	f94b8ea6867f905786c248e80c42188d1ed0bc6aef8470d2c961d5ece21d2eca	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3de4bdb6e388991e0dc08ddd96ce7f299aed54e3b2aca2ff0d766bbd434826f5	6db55cc25f8d04a3763795055b069962108565adf719dff9bbfbf73ade9f63b1	R04			
stage6_crudsql_0217	crudsql:test:0801:4d26d4b03aaa11e9acf2f40f24344a08:dcf0595ad8e23edf	646d3422c0b9d83a5596a7e84b24ce1b00b2d79a3b351c73cf5f084a99df9b91	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3de4bdb6e388991e0dc08ddd96ce7f299aed54e3b2aca2ff0d766bbd434826f5	503ae8935f602ed7be4daee137a7051e68c960e4dab8f993a67c151d5fae5bd9	R04			
stage6_crudsql_0218	crudsql:test:0802:4d26d4b03aaa11e9acf2f40f24344a08:99a7037196f0d560	0faff81163664a5614e2632075377df46fedd7e26e9965d0c751f7d446500929	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3de4bdb6e388991e0dc08ddd96ce7f299aed54e3b2aca2ff0d766bbd434826f5	9feba55093fd8cf8a471ff02f8ea4a9fad5c947aec5f6cf4b738584a29adcc6e	R04			
stage6_crudsql_0219	crudsql:test:0803:4d26d4b03aaa11e9acf2f40f24344a08:bf546cc06f2ed9aa	dcb6569e1d72cf8744f04b58f64d468ee8f7fb144b5ab2404232ca18b0a65252	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3de4bdb6e388991e0dc08ddd96ce7f299aed54e3b2aca2ff0d766bbd434826f5	88c88df3b9d3bd9364188dd6df8bb40b3b7a5dcff3bf5fc7d13acff41c508298	R04			
stage6_crudsql_0240	crudsql:test:0824:6e614ce634ce11e991e5542696d6e445:4d8b18ffe692840f	d5bc6ca380c43cd2699779ac160439c6d7053f3db8c8d043c8e0fb4963e4f8cb	R01_R02_AGREED_REJECTED	667a41f6e1da7d414a0555fa6e84ea19afe8637f0660d6c2aede245998f6555c	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec		R04			
stage6_crudsql_0241	crudsql:test:0825:6e614ce634ce11e991e5542696d6e445:ad0471aede4cc829	dfdc14de7e0b502d475fcece13ff8fb16b1b06c99ec9a7aa54fb9c6a1ed2611b	R01_R02_AGREED_REJECTED	b7ab4f9348db2fcb0e2a7779abafcbfb014389225d69e640a3e1c113ef0d8b89	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec		R04			
stage6_crudsql_0242	crudsql:test:0826:6e614ce634ce11e991e5542696d6e445:e096b5141ad90987	1292556cb4724006e8eae17a05a1c138ebd50a7bac64ba14522866bf17e2373e	R01_R02_AGREED_REJECTED	ffba6c33e660be4e40a4bf5a29ef54fce42fa7dd4b7713b1d833231b2ff1642c	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec		R04			
stage6_crudsql_0243	crudsql:test:0827:6e614ce634ce11e991e5542696d6e445:af30f3f577a69c6a	8d3cd96c2cf34b54c1b87071f1b1c9249664107e3e408af4b46a81c0e58f376f	R01_R02_AGREED_REJECTED	53ee82177d39f70098432cfa855c45855597d48e4f4d3b6d86a1c6691924e8f2	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec		R04			
stage6_crudsql_0250	crudsql:test:0834:aa6fa0b33b0611e984f1f40f24344a08:44f99b93a25244ff	042f95b95308c9a790e6f9a99aceaca19f9d541e1d8654601aa875144a5c079c	R01_R02_AGREED_REJECTED	e1b0dfd2696424b10d0e1da7b01bf46a313d9dea637c1a0fc2cf583afac3f316	4b3993c6b0cddeea814c471056b470e5b3683d47a0302d17f20f055001dd1c95		R04			
stage6_crudsql_0268	crudsql:test:0852:4d2a4f823aaa11e984a4f40f24344a08:fbf3593fb4c9cdf9	f67fa15feedaddee1ed4312af45d049e29f562c15dd35850bea39a14848b6c46	R03_REJECTED_DISAGREEMENT	dd5e0ba7e68a46c3798c495d691eef6427b0b091e6a55c178bc7a14e423aa6bc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c5ce3068bc6746562848a792d94ea6fa286a56493a8ac572e6721582e86898f3	R04			
stage6_crudsql_0269	crudsql:test:0853:4d2a4f823aaa11e984a4f40f24344a08:91c58599a036f5dd	5ec345b2e9445c3e99b0d0b6ec0ea3c2d8ae15d6946392927bdf052db253a412	R03_REJECTED_DISAGREEMENT	422d8a9325061e73c34ca7955f9b0373be5f21bcab52ef23e739f20799ae28f4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	271de3dec0e23e81a798e04ec05c68af6e4cae0236e3baea207ba780b0eafa1e	R04			
stage6_crudsql_0270	crudsql:test:0854:4d2a4f823aaa11e984a4f40f24344a08:6973a357452e0daa	65191ab9c1599ed4cf8e0e098d9d4c1bc8236b388651c305ee084657eb1c87bf	R03_REJECTED_DISAGREEMENT	422d8a9325061e73c34ca7955f9b0373be5f21bcab52ef23e739f20799ae28f4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	271de3dec0e23e81a798e04ec05c68af6e4cae0236e3baea207ba780b0eafa1e	R04			
stage6_crudsql_0271	crudsql:test:0855:4d2a4f823aaa11e984a4f40f24344a08:5d1f546292075c7a	f94796fe9d4fcb614fadee277a1abc2f58ce631d11341b94a19c3aa95a370f72	R03_REJECTED_DISAGREEMENT	ac8ee25441013d96179cc896e87f5d101359ddccf68e325c140f1ac2c80c8f63	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6de52d18467e3d465b8be890348d933fce00f991c4e0926136c600832fb6818b	R04			
stage6_crudsql_0276	crudsql:test:0860:4d242e2b3aaa11e98a7ff40f24344a08:f5f96975e70b8126	0171e92094472496d26c659e8361ee9fe58605c84ea6c3e0645f3dfa1990a914	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13d8fdff4d95dbd04c1aa0b36259382e623003eff87c4cee0f9789223e371b41	a1ecd923efa3255f1117fe58b320dd14249bb529141064cb088ac0805ac3e8d6	R04			
stage6_crudsql_0277	crudsql:test:0861:4d242e2b3aaa11e98a7ff40f24344a08:4dc2ec156c2ca528	863113f6b6ac4e9196f3d77d43ba8ef3dfb78d47b12fd911aba2cf7fafa8490c	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13d8fdff4d95dbd04c1aa0b36259382e623003eff87c4cee0f9789223e371b41	3237e7d61abbdafb6659c5836da05fc59fa7f002d2ffb7288b2b990bc3782ecf	R04			
stage6_crudsql_0278	crudsql:test:0862:4d242e2b3aaa11e98a7ff40f24344a08:3e5091b18c3fe9cc	f1e6f8f5fded271fc9e2a562d668a4f0a3b8961a9e434ec2d89148f22a37b90c	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13d8fdff4d95dbd04c1aa0b36259382e623003eff87c4cee0f9789223e371b41	ef8521942142e8ceb393a8a47e64f096206db0d605d9d2445cbebc345651161e	R04			
stage6_crudsql_0279	crudsql:test:0863:4d242e2b3aaa11e98a7ff40f24344a08:f9672ebc2cd63f84	6f1efc5214922d00eabe11a8c4ff4a99d3addf6141ee0dad79208c986ab054c9	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13d8fdff4d95dbd04c1aa0b36259382e623003eff87c4cee0f9789223e371b41	ef8521942142e8ceb393a8a47e64f096206db0d605d9d2445cbebc345651161e	R04			
stage6_crudsql_0317	crudsql:test:1269:69d56ffd334311e9a90e542696d6e445:58671b8d29af7bf2	d3e2ea1ac182b08abba36bf4624a73b60dac447368de144fb735682639747f44	R01_R02_AGREED_REJECTED	1a7e3bf70fcf147909e24b51ff76b78b94ddd53568fc03332c06291e9e7bee38	c03f25023bf5314728c74ea13b98c007429e534dbc3e4b61ecbf5c56d5da5fdb		R04			
