sample_id,db_id,input_type,operation_type,V0_correct,V0_strict_correct,V0_first_failure,V1_correct,V1_strict_correct,V1_first_failure,V2_correct,V2_strict_correct,V2_first_failure,V3_correct,V3_strict_correct,V3_first_failure,V4_correct,V4_strict_correct,V4_first_failure,V5_correct,V5_strict_correct,V5_first_failure,V6_correct,V6_strict_correct,V6_first_failure,V7_correct,V7_strict_correct,V7_first_failure,V8_correct,V8_strict_correct,V8_first_failure,A_activated,B_activated,C_activated,D_activated,E_activated,F_activated,G1_activated,G2_activated,F_repair_attempted,F_repair_applied,F_repair_succeeded,F_repair_rules,G1_repair_attempted,G1_repair_applied,G1_repair_succeeded,G1_repair_rules,G2_repair_attempted,G2_repair_applied,G2_repair_succeeded,G2_repair_rules,repair_attempted,repair_applied,repair_succeeded
final_archeology_039,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_040,archeology,semi_structured,plain_insert,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_041,archeology,semi_structured,insert_ignore,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,verification,0,0,verification,0,0,verification,0,1,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_042,archeology,semi_structured,upsert_update,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_043,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_044,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_045,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_046,archeology,free_text,plain_insert,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_047,archeology,free_text,insert_ignore,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_048,archeology,free_text,upsert_update,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_049,archeology,semi_structured,plain_insert,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,verification,0,0,verification,0,0,verification,0,0,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_050,archeology,semi_structured,insert_ignore,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,verification,0,0,verification,0,0,verification,0,0,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_051,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_052,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_053,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_054,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_055,archeology,semi_structured,plain_insert,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_056,archeology,semi_structured,insert_ignore,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_057,archeology,semi_structured,upsert_update,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_058,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_059,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_060,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_001,polar,free_text,plain_insert,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_002,polar,free_text,insert_ignore,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_003,polar,free_text,upsert_update,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,1,1,0,0,1,0,0,ambiguous_closed_set,0,0,0,,0,0,0,,1,0,0
final_polar_004,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_005,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_006,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_007,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_008,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_009,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_010,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_011,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_012,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_013,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_014,polar,semi_structured,insert_ignore,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_015,polar,semi_structured,upsert_update,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_016,polar,free_text,plain_insert,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_017,polar,free_text,insert_ignore,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_018,polar,free_text,upsert_update,1,1,none,1,1,none,1,1,none,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_019,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_020,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_021,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_022,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_023,polar,semi_structured,insert_ignore,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,preflight,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_024,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_025,polar,semi_structured,plain_insert,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_026,polar,semi_structured,insert_ignore,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_027,polar,semi_structured,upsert_update,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,verification,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_028,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_029,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_030,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_031,polar,free_text,plain_insert,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,1,0,0,1,0,0,ambiguous_closed_set,0,0,0,,0,0,0,,1,0,0
final_polar_032,polar,free_text,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_033,polar,free_text,upsert_update,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_034,polar,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_035,polar,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_polar_036,polar,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
