sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,method,method_slug,target_state_correct,strict_full_state_correct,accepted,execution_success,first_failure_stage,false_accept,constraint_failure,off_target_state_change,generation_status,input_truncated,hit_max_new_tokens,error_type,D_activated,G1_repair_attempted,G1_repair_applied,G1_repair_succeeded,G1_repair_rules
seed_000201,seed_000201,formula_1,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000044,seed_000044,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000253_small_batch_subset_001,seed_000253,formula_1,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000243,seed_000243,formula_1,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000211_single_row_subset_001,seed_000211,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000189,seed_000189,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000253_single_row_subset_001,seed_000253,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000255_single_row_subset_001,seed_000255,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000095,seed_000095,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000031_single_row_subset_001,seed_000031,student_club,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000192,seed_000192,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000241_single_row_subset_001,seed_000241,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000353_single_row_subset_001,seed_000353,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000013_single_row_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000316_small_batch_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000338_relational_format_variant_001,seed_000338,financial,free_text,plain_insert,1,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000199_small_batch_subset_001,seed_000199,superhero,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000285_single_row_subset_001,seed_000285,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000269,seed_000269,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000202_relational_format_variant_001,seed_000202,student_club,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000146,seed_000146,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000073,seed_000073,superhero,semi_structured,plain_insert,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000014_small_batch_subset_001,seed_000014,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000254_single_row_subset_001,seed_000254,debit_card_specializing,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000166_single_row_subset_001,seed_000166,financial,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000100,seed_000100,european_football_2,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000356,seed_000356,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000167_single_row_subset_001,seed_000167,formula_1,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000187_single_row_subset_001,seed_000187,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000153_relational_format_variant_001,seed_000153,toxicology,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000037,seed_000037,california_schools,semi_structured,upsert_update,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000319,seed_000319,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000168,seed_000168,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000259,seed_000259,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000065_single_row_subset_002,seed_000065,formula_1,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000215_small_batch_subset_001,seed_000215,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000014_single_row_subset_002,seed_000014,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000088_relational_format_variant_001,seed_000088,thrombosis_prediction,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000321_small_batch_subset_001,seed_000321,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000191,seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000159,seed_000159,student_club,semi_structured,plain_insert,0,direct,direct,0,0,1,1,state_mismatch,1,0,0,success,0,0,wrong_state,0,0,0,0,
aug_seed_000144_small_batch_subset_001,seed_000144,superhero,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000235,seed_000235,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000312_single_row_subset_001,seed_000312,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000048,seed_000048,formula_1,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000289,seed_000289,debit_card_specializing,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000159_single_row_subset_001,seed_000159,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000107,seed_000107,california_schools,semi_structured,upsert_update,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000282_small_batch_subset_001,seed_000282,european_football_2,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000194_small_batch_subset_001,seed_000194,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000076,seed_000076,european_football_2,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000002_relational_format_variant_003,seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000331_single_row_subset_001,seed_000331,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000275_relational_format_variant_003,seed_000275,student_club,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000344,seed_000344,card_games,semi_structured,upsert_update,0,direct,direct,0,0,1,1,state_mismatch,1,0,0,success,0,0,wrong_state,0,0,0,0,
seed_000194,seed_000194,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000108,seed_000108,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000044_single_row_subset_002,seed_000044,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000224,seed_000224,card_games,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
seed_000065,seed_000065,formula_1,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000203_small_batch_subset_001,seed_000203,financial,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000162_relational_format_variant_002,seed_000162,codebase_community,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000072_relational_format_variant_003,seed_000072,toxicology,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000166,seed_000166,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000048_single_row_subset_002,seed_000048,formula_1,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000079_single_row_subset_002,seed_000079,debit_card_specializing,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000335_small_batch_subset_001,seed_000335,debit_card_specializing,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000108_single_row_subset_002,seed_000108,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000020_relational_format_variant_001,seed_000020,european_football_2,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000169,seed_000169,debit_card_specializing,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000245,seed_000245,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
seed_000263,seed_000263,california_schools,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000091_single_row_subset_001,seed_000091,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000308,seed_000308,european_football_2,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000069,seed_000069,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
seed_000099,seed_000099,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000010,seed_000010,california_schools,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000017_single_row_subset_001,seed_000017,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000027_single_row_subset_002,seed_000027,debit_card_specializing,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000145_single_row_subset_001,seed_000145,toxicology,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000095_single_row_subset_002,seed_000095,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000056,seed_000056,california_schools,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
seed_000311,seed_000311,card_games,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000238_small_batch_subset_001,seed_000238,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000119_single_row_subset_002,seed_000119,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000089_single_row_subset_001,seed_000089,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000282_single_row_subset_001,seed_000282,european_football_2,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000020_relational_format_variant_002,seed_000020,european_football_2,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,1,execution_error,0,0,0,0,
seed_000219,seed_000219,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000202_relational_format_variant_003,seed_000202,student_club,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000044_single_row_subset_001,seed_000044,superhero,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000261_small_batch_subset_001,seed_000261,debit_card_specializing,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000069_single_row_subset_001,seed_000069,financial,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000139_small_batch_subset_001,seed_000139,european_football_2,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000137_small_batch_subset_001,seed_000137,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000218_small_batch_subset_001,seed_000218,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000025_single_row_subset_001,seed_000025,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000002_relational_format_variant_001,seed_000002,debit_card_specializing,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000049_relational_format_variant_003,seed_000049,debit_card_specializing,semi_structured,plain_insert,1,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000031_small_batch_subset_001,seed_000031,student_club,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000061,seed_000061,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000311_single_row_subset_001,seed_000311,card_games,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000309_relational_format_variant_001,seed_000309,toxicology,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000316_single_row_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000312,seed_000312,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000130_single_row_subset_001,seed_000130,formula_1,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000072,seed_000072,toxicology,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000343_small_batch_subset_001,seed_000343,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000293_relational_format_variant_001,seed_000293,student_club,free_text,insert_ignore,1,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000325,seed_000325,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000301_single_row_subset_001,seed_000301,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000356_single_row_subset_001,seed_000356,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000121,seed_000121,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000217,seed_000217,codebase_community,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,unsafe_sql,0,0,0,0,
aug_seed_000061_single_row_subset_002,seed_000061,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
seed_000052,seed_000052,superhero,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000179_single_row_subset_001,seed_000179,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000088,seed_000088,thrombosis_prediction,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000351_relational_format_variant_001,seed_000351,toxicology,free_text,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000013_small_batch_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000335,seed_000335,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000080_single_row_subset_002,seed_000080,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000235_single_row_subset_001,seed_000235,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000019_single_row_subset_002,seed_000019,financial,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
seed_000174,seed_000174,california_schools,semi_structured,upsert_update,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000280_single_row_subset_001,seed_000280,european_football_2,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000067,seed_000067,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000171_small_batch_subset_001,seed_000171,financial,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000051,seed_000051,financial,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000040,seed_000040,codebase_community,free_text,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000035_relational_format_variant_002,seed_000035,california_schools,semi_structured,plain_insert,1,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000148_small_batch_subset_001,seed_000148,codebase_community,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000303_small_batch_subset_001,seed_000303,thrombosis_prediction,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000119_single_row_subset_001,seed_000119,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000193,seed_000193,california_schools,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000161_single_row_subset_001,seed_000161,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000165,seed_000165,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000110_single_row_subset_002,seed_000110,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000062_single_row_subset_001,seed_000062,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000307,seed_000307,european_football_2,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000177_relational_format_variant_003,seed_000177,codebase_community,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000085_single_row_subset_002,seed_000085,debit_card_specializing,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000272_single_row_subset_001,seed_000272,card_games,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000299_single_row_subset_001,seed_000299,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000196,seed_000196,codebase_community,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000101_small_batch_subset_001,seed_000101,formula_1,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000300,seed_000300,superhero,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000076_single_row_subset_002,seed_000076,european_football_2,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
