method_id,input_format,format_samples,error_category,error_stage,count,proportion_within_format
S-FS-v2-M,key_value,60,E16_state_mismatch,state,6,0.1
S-FS-v2-M,key_value,60,correct,correct,17,0.2833333333333333
S-FS-v2-M,markdown,60,E14_compiler,compilation,5,0.08333333333333333
S-FS-v2-M,markdown,60,E15_execution,execution,33,0.55
S-FS-v2-M,markdown,60,E16_state_mismatch,state,9,0.15
S-FS-v2-M,markdown,60,correct,correct,13,0.21666666666666667
MP-FS-M,csv_or_mixed,60,E1_invalid_output,parsing,3,0.05
MP-FS-M,csv_or_mixed,60,E5_wrong_mapping,source_grounding,52,0.8666666666666667
MP-FS-M,csv_or_mixed,60,correct,correct,5,0.08333333333333333
MP-FS-M,free_text,60,E15_execution,execution,5,0.08333333333333333
MP-FS-M,free_text,60,E16_state_mismatch,state,2,0.03333333333333333
MP-FS-M,free_text,60,E1_invalid_output,parsing,22,0.36666666666666664
MP-FS-M,free_text,60,E3_unknown_column,interpretation,9,0.15
MP-FS-M,free_text,60,E4_missing_column,compilation,1,0.016666666666666666
MP-FS-M,free_text,60,E8_wrong_or_hallucinated_value,source_grounding,6,0.1
MP-FS-M,free_text,60,correct,correct,15,0.25
MP-FS-M,json,60,E15_execution,execution,17,0.2833333333333333
MP-FS-M,json,60,E1_invalid_output,parsing,3,0.05
MP-FS-M,json,60,E5_wrong_mapping,source_grounding,23,0.38333333333333336
MP-FS-M,json,60,E6_missing_row,source_grounding,2,0.03333333333333333
MP-FS-M,json,60,E9_type_or_shape,compilation,5,0.08333333333333333
MP-FS-M,json,60,correct,correct,10,0.16666666666666666
MP-FS-M,key_value,60,E16_state_mismatch,state,2,0.03333333333333333
MP-FS-M,key_value,60,E17_state_mismatch_with_off_target_change,state,1,0.016666666666666666
MP-FS-M,key_value,60,E1_invalid_output,parsing,2,0.03333333333333333
MP-FS-M,key_value,60,E3_unknown_column,interpretation,3,0.05
MP-FS-M,key_value,60,E4_missing_column,compilation,2,0.03333333333333333
MP-FS-M,key_value,60,E5_wrong_mapping,source_grounding,47,0.7833333333333333
MP-FS-M,key_value,60,E9_type_or_shape,compilation,1,0.016666666666666666
MP-FS-M,key_value,60,correct,correct,2,0.03333333333333333
MP-FS-M,markdown,60,E1_invalid_output,parsing,3,0.05
MP-FS-M,markdown,60,E5_wrong_mapping,source_grounding,55,0.9166666666666666
MP-FS-M,markdown,60,correct,correct,2,0.03333333333333333
MP-FS+,csv_or_mixed,60,E10_conflict_semantics,interpretation,1,0.016666666666666666
MP-FS+,csv_or_mixed,60,E15_preflight_abstention,execution,2,0.03333333333333333
MP-FS+,csv_or_mixed,60,E16_state_mismatch,state,6,0.1
MP-FS+,csv_or_mixed,60,E5_wrong_mapping,source_grounding,1,0.016666666666666666
MP-FS+,csv_or_mixed,60,correct,correct,50,0.8333333333333334
MP-FS+,free_text,60,E10_conflict_semantics,interpretation,5,0.08333333333333333
MP-FS+,free_text,60,E11_conflict_target_or_mask,interpretation,3,0.05
MP-FS+,free_text,60,E13_dependency_fk,execution,1,0.016666666666666666
MP-FS+,free_text,60,E15_preflight_abstention,execution,1,0.016666666666666666
MP-FS+,free_text,60,E16_state_mismatch,state,5,0.08333333333333333
MP-FS+,free_text,60,E1_invalid_output,parsing,6,0.1
MP-FS+,free_text,60,E3_unknown_column,interpretation,6,0.1
MP-FS+,free_text,60,E4_missing_column,compilation,8,0.13333333333333333
MP-FS+,free_text,60,E7_duplicate,compilation,4,0.06666666666666667
MP-FS+,free_text,60,E8_wrong_or_hallucinated_value,source_grounding,13,0.21666666666666667
MP-FS+,free_text,60,correct,correct,8,0.13333333333333333
MP-FS+,json,60,E10_conflict_semantics,interpretation,5,0.08333333333333333
MP-FS+,json,60,E15_preflight_abstention,execution,2,0.03333333333333333
MP-FS+,json,60,E3_unknown_column,interpretation,14,0.23333333333333334
MP-FS+,json,60,E4_missing_column,compilation,8,0.13333333333333333
MP-FS+,json,60,E5_wrong_mapping,source_grounding,4,0.06666666666666667
MP-FS+,json,60,correct,correct,27,0.45
MP-FS+,key_value,60,E10_conflict_semantics,interpretation,9,0.15
MP-FS+,key_value,60,E11_conflict_target_or_mask,interpretation,1,0.016666666666666666
MP-FS+,key_value,60,E16_state_mismatch,state,5,0.08333333333333333
MP-FS+,key_value,60,E3_unknown_column,interpretation,8,0.13333333333333333
MP-FS+,key_value,60,E4_missing_column,compilation,5,0.08333333333333333
MP-FS+,key_value,60,E5_wrong_mapping,source_grounding,28,0.4666666666666667
MP-FS+,key_value,60,correct,correct,4,0.06666666666666667
MP-FS+,markdown,60,E15_preflight_abstention,execution,1,0.016666666666666666
MP-FS+,markdown,60,correct,correct,59,0.9833333333333333
Gold-MP,csv_or_mixed,60,correct,correct,60,1.0
Gold-MP,free_text,60,correct,correct,60,1.0
Gold-MP,json,60,correct,correct,60,1.0
Gold-MP,key_value,60,correct,correct,60,1.0
Gold-MP,markdown,60,correct,correct,60,1.0
